VRDL ID,VRDL Name,Date of collection,Target,Avg Cq,Cq SD,Copy Number,Copy SD,Source File,Normalized Copy Number
3,"JMCH, Jorhat",15/07/2025,cmy,28.3,0.8,50945,23945.6,VRDL03_JMCH_Jorhat_150725.csv,35.47
3,"JMCH, Jorhat",15/07/2025,ctxm,29.9,0.7,280.6,144,VRDL03_JMCH_Jorhat_150725.csv,0.2
3,"JMCH, Jorhat",15/07/2025,ent,30.5,1.1,1436.4,884.2,VRDL03_JMCH_Jorhat_150725.csv,1
3,"JMCH, Jorhat",15/07/2025,ic,25.4,0.3,106925.9,28160.2,VRDL03_JMCH_Jorhat_150725.csv,74.44
3,"JMCH, Jorhat",15/07/2025,imp,,,0,0,VRDL03_JMCH_Jorhat_150725.csv,0
3,"JMCH, Jorhat",15/07/2025,kpc,25.6,0.9,330925.7,166381.5,VRDL03_JMCH_Jorhat_150725.csv,230.39
3,"JMCH, Jorhat",15/07/2025,mcr126,,,0,0,VRDL03_JMCH_Jorhat_150725.csv,0
3,"JMCH, Jorhat",15/07/2025,mcr3,35.4,0.8,19,13.4,VRDL03_JMCH_Jorhat_150725.csv,0.01
3,"JMCH, Jorhat",15/07/2025,mcr4,36.7,,2.8,4.9,VRDL03_JMCH_Jorhat_150725.csv,0
3,"JMCH, Jorhat",15/07/2025,mcr5910,32.8,0.6,19.2,8.7,VRDL03_JMCH_Jorhat_150725.csv,0.01
3,"JMCH, Jorhat",15/07/2025,mcr7,34.8,1.6,17.7,13.7,VRDL03_JMCH_Jorhat_150725.csv,0.01
3,"JMCH, Jorhat",15/07/2025,mcr8,,,0,0,VRDL03_JMCH_Jorhat_150725.csv,0
3,"JMCH, Jorhat",15/07/2025,meca,38.5,0.7,9.7,9.9,VRDL03_JMCH_Jorhat_150725.csv,0.01
3,"JMCH, Jorhat",15/07/2025,mtb,35.5,1.5,144.1,157.3,VRDL03_JMCH_Jorhat_150725.csv,0.1
3,"JMCH, Jorhat",15/07/2025,ndm,27.4,0.8,50680.5,24817.6,VRDL03_JMCH_Jorhat_150725.csv,35.28
3,"JMCH, Jorhat",15/07/2025,nuc,,,0,0,VRDL03_JMCH_Jorhat_150725.csv,0
3,"JMCH, Jorhat",15/07/2025,oxa,25.5,0.9,98990.6,55121,VRDL03_JMCH_Jorhat_150725.csv,68.92
3,"JMCH, Jorhat",15/07/2025,pvl,,,0,0,VRDL03_JMCH_Jorhat_150725.csv,0
3,"JMCH, Jorhat",15/07/2025,shv,31.4,0.8,4467.8,2003.5,VRDL03_JMCH_Jorhat_150725.csv,3.11
3,"JMCH, Jorhat",15/07/2025,vana,29.2,0.5,4500.7,1349.1,VRDL03_JMCH_Jorhat_150725.csv,3.13
3,"JMCH, Jorhat",15/07/2025,vanb,31.5,0.8,24185.9,10814.1,VRDL03_JMCH_Jorhat_150725.csv,16.84
3,"JMCH, Jorhat",15/07/2025,vanm,35.5,0.7,216.9,105.5,VRDL03_JMCH_Jorhat_150725.csv,0.15
3,"JMCH, Jorhat",15/07/2025,vim,25.5,1.2,319374.7,185741.4,VRDL03_JMCH_Jorhat_150725.csv,222.34
